,supplier_id,account_id,date_issue,timestamp,company_id,id,credit,amount,descrition,file,debit,balance,name,slug,department_id
85,783,,2014-07-04,2014-07-04 10:41:05.551917,1,99,-48.9,-48.9,DIFERENCIA DE COMISIONES,,,,DIFERENCIA DE COMISIONES,diferencia-de-comisiones,0.0
91,921,,2014-09-05,2014-09-18 16:52:05.520428,1,105,401.24,401.24,EFECTIVO MANU (FRA 701461),,,,EFECTIVO MANU (FRA 701461),efectivo-manu-fra-701461,0.0
92,921,,2014-09-05,2014-09-18 16:52:59.775572,1,106,982.12,982.12,EFECTIVO MANU (FRA 701460),,,,EFECTIVO MANU (FRA 701460),efectivo-manu-fra-701460,0.0
93,921,,2014-09-17,2014-09-18 16:53:57.861831,1,107,4.0,4.0,EFECTIVO MANU( FRA 702241),,,,EFECTIVO MANU( FRA 702241),efectivo-manu-fra-702241,0.0
94,626,,2014-09-29,2014-10-03 07:22:15.707655,2,108,0.0,0.0,----------EMBARGO - INMUEBLES 29-09-14----------,,,,----------EMBARGO - INMUEBLES 29-09-14----------,embargo-inmuebles-29-09-14,0.0
95,943,,2014-10-10,2014-10-13 07:36:08.023739,1,109,500.0,500.0,TRANSF. A PEDRO MIGUEL LOPES POR ADELANTO,,,,TRANSF. A PEDRO MIGUEL LOPES POR ADELANTO,transf-a-pedro-miguel-lopes-por-adelanto,0.0
97,14,,2014-10-13,2014-10-13 14:27:28.602713,1,111,0.0,0.0,Embargo recibido con fecha 06/10/2014,,,,Embargo recibido con fecha 06/10/2014,embargo-recibido-con-fecha-06102014,0.0
98,14,,2014-10-13,2014-10-13 14:27:52.438189,2,112,0.0,0.0,Embargo recibido con fecha 6/10/2014,,,,Embargo recibido con fecha 6/10/2014,embargo-recibido-con-fecha-6102014,0.0
100,954,,2014-10-14,2014-10-30 17:16:41.774785,1,116,600.0,600.0,INGRESO EFECTIVO,,,,INGRESO EFECTIVO,ingreso-efectivo-5,0.0
101,954,,2014-10-14,2014-10-30 17:16:55.941399,1,117,600.0,600.0,INGRESO EFECTIVO,,,,INGRESO EFECTIVO,ingreso-efectivo-6,0.0
102,101,,2014-11-06,2014-11-06 16:42:03.733228,1,118,1328.42,1328.42,REGULARIZACIÓN CUENTA,,,,REGULARIZACIÓN CUENTA,regularizacion-cuenta,0.0
103,854,,2014-11-27,2014-11-26 10:10:56.612074,1,119,483.09,483.09,Paga el seguro la BI FRA. 14/1387,,,,Paga el seguro la BI FRA. 14/1387,paga-el-seguro-la-bi-fra-141387,0.0
104,33,,2014-12-17,2014-12-18 15:37:59.742747,2,120,229.0,229.0,EFECTIVO,,,,EFECTIVO,efectivo-6,
105,626,,2014-12-18,2014-12-18 16:15:21.194542,2,121,0.0,0.0,--------- EMBARGO - 18/12/14 --------,,,,--------- EMBARGO - 18/12/14 --------,embargo-181214,
106,882,,2014-11-10,2014-12-22 10:40:12.053776,1,122,283.14,283.14,RECIBO DHL,,,,RECIBO DHL,recibo-dhl,
107,626,,2015-01-05,2015-01-07 17:06:55.692203,2,123,0.0,0.0,--------EMBARGO HACIENDA 05/01/15---------------,,,,--------EMBARGO HACIENDA 05/01/15---------------,embargo-hacienda-050115,
108,1026,,2015-01-26,2015-01-26 16:17:54.638485,1,124,3.0,3.0,EFECTIVO,,,,EFECTIVO,efectivo-7,
109,792,,2015-01-31,2015-02-02 08:27:44.905403,1,125,12995.37,12995.37,PAGO TARJETA,,,,PAGO TARJETA,pago-tarjeta,
110,792,,2015-01-31,2015-02-02 08:28:08.147665,2,126,4258.5,4258.5,PAGO TARJETA,,,,PAGO TARJETA,pago-tarjeta-2,
111,954,,2015-02-06,2015-02-09 11:19:06.735241,1,127,500.0,500.0,INGRESO EFECTIVO,,,,INGRESO EFECTIVO,ingreso-efectivo-7,1.0
112,954,,2015-03-03,2015-03-03 15:28:13.918511,1,128,1000.0,1000.0,INGRESO EN EFECTIVO,,,,INGRESO EN EFECTIVO,ingreso-en-efectivo-5,
113,1037,,2014-12-22,2015-03-10 10:10:26.629382,1,129,42.17,42.17,PAGADO EN EFECTIVO,,,,PAGADO EN EFECTIVO,pagado-en-efectivo,
114,921,,2014-10-29,2015-03-11 11:27:51.615335,1,130,2623.41,2623.41,REGULARIZ.CTA.,,,,REGULARIZ.CTA.,regularizcta,
117,1046,,2015-03-31,2015-03-31 16:38:22.301306,1,136,240.0,240.0,EFECTV. PAGADO POR RAÚL 1ER MES,,,,EFECTV. PAGADO POR RAÚL 1ER MES,efectv-pagado-por-raul-1er-mes,
119,1112,,2015-02-28,2015-04-07 09:27:36.989832,1,139,130.0,130.0,PAGADO EFECT. 2 ENTREGAS,,,,PAGADO EFECT. 2 ENTREGAS,pagado-efect-2-entregas,
121,626,,2015-05-14,2015-05-14 08:43:01.995784,1,141,0.0,0.0,-------EMBARGO HACIENDA 4/05/2015 ---------,,,,-------EMBARGO HACIENDA 4/05/2015 ---------,embargo-hacienda-4052015,
122,379,,2014-12-10,2015-05-14 08:53:08.019611,1,142,0.0,0.0,-------EMBARGO HACIENDA 05/12/2014 ---------,,,,-------EMBARGO HACIENDA 05/12/2014 ---------,embargo-hacienda-05122014,
123,379,,2015-04-09,2015-05-14 08:54:33.509040,1,143,0.0,0.0,-------EMBARGO HACIENDA 03/04/2015 ---------,,,,-------EMBARGO HACIENDA 03/04/2015 ---------,embargo-hacienda-03042015,
124,156,,2015-04-14,2015-05-14 08:55:35.886011,1,144,0.0,0.0,-------EMBARGO HACIENDA 10/04/2015 ---------,,,,-------EMBARGO HACIENDA 10/04/2015 ---------,embargo-hacienda-10042015,
125,788,,2015-05-25,2015-05-25 07:02:31.035885,1,145,0.0,0.0,-------EMBARGO HACIENDA 22/05/2015 ---------,,,,-------EMBARGO HACIENDA 22/05/2015 ---------,embargo-hacienda-22052015,
126,156,,2015-05-26,2015-05-26 11:51:54.741817,1,146,0.0,0.0,-------EMBARGO JUZGADO 25/05/2015 ---------,,,,-------EMBARGO JUZGADO 25/05/2015 ---------,embargo-juzgado-25052015,
129,588,,2015-06-08,2015-06-08 07:22:19.462212,1,149,263.42,263.42,-------EMBARGO HACIENDA 08/06/2015 ---------,,,,-------EMBARGO HACIENDA 08/06/2015 ---------,embargo-hacienda-08062015,1.0
130,626,,2015-06-09,2015-06-09 08:51:55.642542,2,150,0.0,0.0,-------EMBARGO HACIENDA 04/06/2015 ---------,,,,-------EMBARGO HACIENDA 04/06/2015 ---------,embargo-hacienda-04062015,
131,1126,,2015-06-11,2015-06-11 11:11:54.805331,1,151,288.28,288.28,PAGADO A EXC. MUCHAMIEL,,,,PAGADO A EXC. MUCHAMIEL,pagado-a-exc-muchamiel,
132,626,,2015-06-26,2015-06-26 10:11:19.385710,2,153,0.0,0.0,------EMBARGO JUZGADO DE LO SOCIAL 26-06-15------,,,,------EMBARGO JUZGADO DE LO SOCIAL 26-06-15------,embargo-juzgado-de-lo-social-26-06-15,
133,626,,2015-07-06,2015-07-06 07:18:35.589354,1,154,0.0,0.0,------EMBARGO JUZGADO DE LO SOCIAL 03-07-15------,,,,------EMBARGO JUZGADO DE LO SOCIAL 03-07-15------,embargo-juzgado-de-lo-social-03-07-15,
134,626,,2015-08-06,2015-08-06 10:27:39.242255,1,155,0.0,0.0,-------EMBARGO TESORERIA 03/08/2015 ---------,,,,-------EMBARGO TESORERIA 03/08/2015 ---------,embargo-tesoreria-03082015,
135,626,,2015-08-03,2015-08-06 10:28:03.317543,2,156,0.0,0.0,-------EMBARGO TESORERIA 03/08/2015 ---------,,,,-------EMBARGO TESORERIA 03/08/2015 ---------,embargo-tesoreria-03082015-2,
136,719,,2015-07-22,2015-08-10 07:43:22.976403,1,157,69.88,69.88,PAGADO EFECTIVO,,,,PAGADO EFECTIVO,pagado-efectivo-3,
137,719,,2015-07-21,2015-08-10 07:43:43.461009,1,158,20.0,20.0,PAGADO EFECTIVO,,,,PAGADO EFECTIVO,pagado-efectivo-4,
139,1186,,2015-07-11,2015-08-11 15:48:14.610236,1,160,27.0,27.0,PAGADO EN EFECTIVO,,,,PAGADO EN EFECTIVO,pagado-en-efectivo-2,
140,1262,,2015-08-12,2015-08-19 11:01:20.321219,1,161,471.9,471.9,EFECTIVO ANTOLIANO,,,,EFECTIVO ANTOLIANO,efectivo-antoliano,
141,1286,,2015-09-08,2015-10-01 15:24:07.933709,1,163,37.53,37.53,PAGADO EFECT. RAUL,,,,PAGADO EFECT. RAUL,pagado-efect-raul,
142,781,,2015-10-06,2015-10-06 11:17:11.335336,1,164,0.0,0.0,-------EMBARGO HACIENDA 06/10/2015 ---------,,,,-------EMBARGO HACIENDA 06/10/2015 ---------,embargo-hacienda-06102015,
143,69,,2015-07-31,2015-10-14 11:47:28.799788,1,165,6264.31,6264.31,CANCELACIÓN DEUDA,,,,CANCELACIÓN DEUDA,cancelacion-deuda,
144,1264,,2015-08-14,2015-11-02 09:26:40.534987,1,166,122.0,122.0,PAGADO EFECT,,,,PAGADO EFECT,pagado-efect-2,
145,699,,2015-10-30,2015-11-03 17:34:39.492864,1,167,19988.52,19988.52,CONFIRMING,,,,CONFIRMING,confirming,
146,626,,2015-11-09,2015-11-09 16:07:14.939995,2,168,0.0,0.0,----EMBARGO TESORERIA 06/11/15----,,,,----EMBARGO TESORERIA 06/11/15----,embargo-tesoreria-061115,
147,626,,2015-11-09,2015-11-09 16:10:31.049561,1,169,0.0,0.0,-----EMBARGO TESORERIA 06/11/15-----,,,,-----EMBARGO TESORERIA 06/11/15-----,embargo-tesoreria-061115-2,
148,626,,2015-11-09,2015-11-09 16:11:56.472979,2,170,0.0,0.0,--------EMBARGO TESORERIA 06/11/15--------,,,,--------EMBARGO TESORERIA 06/11/15--------,embargo-tesoreria-061115-3,
149,626,,2015-11-09,2015-11-09 16:12:54.635666,1,171,0.0,0.0,------------EMBARGO TESORERIA 06/11/15-----------,,,,------------EMBARGO TESORERIA 06/11/15-----------,embargo-tesoreria-061115-4,
151,1266,,2015-09-14,2015-11-11 11:32:18.829492,1,173,135.6,135.6,TARJETA,,,,TARJETA,tarjeta-4,
152,1266,,2015-09-14,2015-11-11 11:32:44.478052,1,174,67.6,67.6,TARJETA,,,,TARJETA,tarjeta-5,
153,976,,2015-11-20,2015-11-20 08:08:06.739101,1,175,0.0,0.0,-------EMBARGO HACIENDA 20/11/2015 ---------,,,,-------EMBARGO HACIENDA 20/11/2015 ---------,embargo-hacienda-20112015,
154,699,,2015-11-27,2015-11-25 11:49:13.701933,1,176,7107.49,7107.49,CONFIRMING,,,,CONFIRMING,confirming-2,
156,896,,2015-12-21,2015-12-21 15:27:02.169185,1,178,-150.04,-150.04,CHEQUE DIFERENCIA,,,,CHEQUE DIFERENCIA,cheque-diferencia,
157,699,,2016-01-08,2016-01-07 08:28:39.374556,1,179,12437.43,12437.43,CONFIRMING,,,,CONFIRMING,confirming-3,
158,313,,2015-12-31,2016-01-07 12:02:38.097782,1,180,0.37,0.37,EFECTIVO,,,,EFECTIVO,efectivo-8,1.0
159,16,,2016-01-08,2016-01-11 12:38:10.441674,1,181,0.0,0.0,----------Embargo 1ª Instancia de Ubeda------------,,,,----------Embargo 1ª Instancia de Ubeda------------,embargo-1a-instancia-de-ubeda,
160,1199,,2015-11-30,2016-01-11 15:28:51.593654,1,182,122.4,122.4,EFECTIVO,,,,EFECTIVO,efectivo-9,
161,14,,2016-01-04,2016-01-12 12:06:53.494392,3,183,0.0,0.0,-------EMBARGO HACIENDA 04/01/2016 ---------,,,,-------EMBARGO HACIENDA 04/01/2016 ---------,embargo-hacienda-04012016,
163,14,,2016-01-04,2016-01-13 17:44:50.760668,1,185,0.0,0.0,-----------EMBARGO HACIENDA 04/01/2016---------,,,,-----------EMBARGO HACIENDA 04/01/2016---------,embargo-hacienda-04012016-2,
167,699,,2016-02-08,2016-02-08 10:15:20.439514,1,189,4977.62,4977.62,CONFIRMIG,,,,CONFIRMIG,confirmig,
168,626,,2016-02-08,2016-02-08 10:48:43.188438,1,190,0.0,0.0,--------EMBARGO TESORERIA 08/02/16----------,,,,--------EMBARGO TESORERIA 08/02/16----------,embargo-tesoreria-080216,
169,493,,2016-02-11,2016-02-11 10:04:37.828756,1,191,11665.51,11665.51,CONFIRMING,,,,CONFIRMING,confirming-4,
171,626,,2016-02-15,2016-02-15 12:27:46.539835,2,193,0.0,0.0,-------EMBARGO TESORERÍA 15/02/16----------,,,,-------EMBARGO TESORERÍA 15/02/16----------,embargo-tesoreria-150216,
172,626,,2016-02-15,2016-02-15 12:37:31.957306,1,194,0.0,0.0,---------EMBARGO JUZGADO DE LO SOCIAL SEVILLA 15/02/16--------------,,,,---------EMBARGO JUZGADO DE LO SOCIAL SEVILLA 15/02/16--------------,embargo-juzgado-de-lo-social-sevilla-150216-2,
173,626,,2016-02-15,2016-02-15 12:38:01.196657,2,195,0.0,0.0,-------EMBARGO JUZGADO DE LO SOCIAL SEVILLA 15/02/16-------,,,,-------EMBARGO JUZGADO DE LO SOCIAL SEVILLA 15/02/16-------,embargo-juzgado-de-lo-social-sevilla-150216,
174,626,,2016-02-17,2016-02-17 12:47:31.527643,1,196,0.0,0.0,------EMBARGO JUZGADO DE LO SOCIAL MALAGA 17/02/16-----,,,,------EMBARGO JUZGADO DE LO SOCIAL MALAGA 17/02/16-----,embargo-juzgado-de-lo-social-malaga-170216,
175,626,,2016-02-17,2016-02-17 12:48:08.681651,2,197,0.0,0.0,--------EMBARGO JUZGADO DE LO SOCIAL MALAGA 17/02/16--------,,,,--------EMBARGO JUZGADO DE LO SOCIAL MALAGA 17/02/16--------,embargo-juzgado-de-lo-social-malaga-170216-2,
176,1185,,2015-06-17,2016-02-22 09:39:25.703828,1,198,540.0,540.0,FIANZA PAGADA POR ESTELA,,,,FIANZA PAGADA POR ESTELA,fianza-pagada-por-estela,
177,626,,2016-02-22,2016-02-24 08:20:29.013707,1,199,0.0,0.0,--------EMBARGO JUZGADO DE LO SOCIAL SEVILLA 22/02/16----------,,,,--------EMBARGO JUZGADO DE LO SOCIAL SEVILLA 22/02/16----------,embargo-juzgado-de-lo-social-sevilla-220216-2,
178,626,,2016-02-22,2016-02-24 08:20:55.029420,2,200,0.0,0.0,--------EMBARGO JUZGADO DE LO SOCIAL SEVILLA 22/02/16----------,,,,--------EMBARGO JUZGADO DE LO SOCIAL SEVILLA 22/02/16----------,embargo-juzgado-de-lo-social-sevilla-220216,
179,699,,2016-03-03,2016-03-03 16:25:41.512486,1,201,12711.78,12711.78,TRANSFERENCIA CONFIRMING CAIXA,,,,TRANSFERENCIA CONFIRMING CAIXA,transferencia-confirming-caixa,
181,1503,,2016-03-03,2016-03-04 11:26:33.165171,1,203,2000.0,2000.0,PAGADO POR RAÚL,,,,PAGADO POR RAÚL,pagado-por-raul,
182,255,,2015-03-09,2016-03-21 10:38:18.369109,3,204,1150.0,1150.0,PROVISION FONDOS,,,,PROVISION FONDOS,provision-fondos,
183,255,,2015-03-09,2016-03-21 10:38:41.225317,3,205,-90.96,-90.96,DEVOL.FONDOS,,,,DEVOL.FONDOS,devolfondos,
185,472,,2016-03-15,2016-03-21 16:44:21.392213,1,207,2415.0,2415.0,CONFIRMING CAIXA,,,,CONFIRMING CAIXA,confirming-caixa-2,
189,294,,2016-03-22,2016-03-21 17:07:36.962354,1,211,8916.0,8916.0,CONFIRMING CAIXA,,,,CONFIRMING CAIXA,confirming-caixa-6,1.0
190,97,,2016-03-21,2016-03-21 18:07:16.414937,1,212,3163.4,3163.4,CONFIRMING BANKIA,,,,CONFIRMING BANKIA,confirming-bankia,
191,651,,2016-03-15,2016-03-22 08:21:45.850668,1,213,6735.49,6735.49,CONFIRMING BANKIA,,,,CONFIRMING BANKIA,confirming-bankia-2,
195,1058,,2016-03-21,2016-03-22 08:36:08.708850,1,217,13839.98,13839.98,CONFIRMING CAIXA,,,,CONFIRMING CAIXA,confirming-caixa-8,
198,954,,2016-04-05,2016-04-05 10:37:43.450859,1,220,0.0,0.0,-----------EMBARGO HACIENDA 05/04/16---------,,,,-----------EMBARGO HACIENDA 05/04/16---------,embargo-hacienda-050416,
203,699,,2016-04-06,2016-04-06 08:41:29.512011,1,225,9009.9,9009.9,CONFIRMING CAIXA,,,,CONFIRMING CAIXA,confirming-caixa-9,
205,1264,,2016-04-18,2016-04-18 15:42:52.701717,1,227,3050.0,3050.0,CONFIRMING CAJAMAR,,,,CONFIRMING CAJAMAR,confirming-cajamar-3,
207,1027,,2016-04-20,2016-04-20 10:51:27.504756,1,229,5228.68,5228.68,CONFIRMING LA CAIXA,,,,CONFIRMING LA CAIXA,confirming-la-caixa,
209,1545,,2016-04-21,2016-04-22 10:08:06.655787,1,231,2134.0,2134.0,PAGADO SALVA TARJ.,,,,PAGADO SALVA TARJ.,pagado-salva-tarj,
210,1545,,2016-04-22,2016-04-22 10:15:12.027217,1,232,750.0,750.0,PAGADO SALVA TARJ.,,,,PAGADO SALVA TARJ.,pagado-salva-tarj-2,
211,1353,,2016-04-22,2016-04-25 07:58:59.954865,1,233,0.0,0.0,---------EMBARGO Tª GENERAL SEG SOCIAL-----------,,,,---------EMBARGO Tª GENERAL SEG SOCIAL-----------,embargo-ta-general-seg-social,
214,650,,2016-04-26,2016-04-26 15:07:56.851424,1,236,12761.56,12761.56,CONFIRMING BANKIA,,,,CONFIRMING BANKIA,confirming-bankia-7,
216,1587,,2016-04-28,2016-04-28 10:11:52.037715,1,238,3488.48,3488.48,CONFIRMING BANKIA,,,,CONFIRMING BANKIA,confirming-bankia-9,
218,1594,,2016-04-29,2016-05-02 08:09:35.697789,1,240,12169.5,12169.5,CONFIRMING BANKIA,,,,CONFIRMING BANKIA,confirming-bankia-11,
220,1353,,2016-05-02,2016-05-02 11:15:26.630453,1,242,0.0,0.0,--------LEVANTAMIENTO DE EMBARGO----------,,,,--------LEVANTAMIENTO DE EMBARGO----------,levantamiento-de-embargo,
221,473,,2016-04-08,2016-05-03 10:23:46.552652,1,243,11633.28,11633.28,CONFIRMING IBERCAJ,,,,CONFIRMING IBERCAJ,confirming-ibercaj,
223,23,,2016-05-05,2016-05-05 07:19:16.538905,1,245,0.0,0.0,-----------EMBARGO HACIENDA 05/05/16---------,,,,-----------EMBARGO HACIENDA 05/05/16---------,embargo-hacienda-050516,
224,650,,2016-05-05,2016-05-05 15:39:33.026406,1,246,10363.9,10363.9,CONFIRMING BANKIA,,,,CONFIRMING BANKIA,confirming-bankia-13,
226,651,,2016-05-05,2016-05-05 15:56:41.941209,1,248,634.4,634.4,CONFIRMING BANKIA,,,,CONFIRMING BANKIA,confirming-bankia-14,
229,1227,,2016-05-09,2016-05-09 07:05:36.966373,1,251,0.0,0.0,-----------EMBARGO HACIENDA 09/05/16---------,,,,-----------EMBARGO HACIENDA 09/05/16---------,embargo-hacienda-090516,
232,699,,2016-05-05,2016-05-09 11:42:06.916692,1,254,6250.75,6250.75,CONFIRMINF IBERCAJA,,,,CONFIRMINF IBERCAJA,confirminf-ibercaja,
234,294,,2016-05-10,2016-05-10 15:11:26.624502,1,256,11231.51,11231.51,CONFIRMING CAIXA,,,,CONFIRMING CAIXA,confirming-caixa-10,1.0
236,1264,,2016-05-11,2016-05-12 07:16:33.999019,1,258,3769.8,3769.8,CONFIRMING CAJAMAR,,,,CONFIRMING CAJAMAR,confirming-cajamar-5,
237,1561,,2016-05-11,2016-05-12 07:26:40.655612,1,259,4190.7,4190.7,CONFIRMING CAJAMAR,,,,CONFIRMING CAJAMAR,confirming-cajamar-6,
239,66,,2016-05-11,2016-05-12 08:05:31.593766,1,261,4878.12,4878.12,CONFIRMING IBERCAJA,,,,CONFIRMING IBERCAJA,confirming-ibercaja-12,
